꽃받침 길이,꽃받침 너비,종류
5.1,3.5,세토사
4.9,3,세토사
4.7,3.2,세토사
4.6,3.1,세토사
5,3.6,세토사
4.6,3.4,세토사
5,3.4,세토사
4.4,2.9,세토사
4.9,3.1,세토사
5.4,3.7,세토사
4.8,3.4,세토사
4.8,3,세토사
5.7,4.4,세토사
5.4,3.9,세토사
5.1,3.5,세토사
5.1,3.8,세토사
5.1,3.7,세토사
5,3,세토사
5,3.4,세토사
5.2,3.5,세토사
5.2,3.4,세토사
4.7,3.2,세토사
4.8,3.1,세토사
5.4,3.4,세토사
5.2,4.1,세토사
5.5,4.2,세토사
4.9,3.1,세토사
5.5,3.5,세토사
4.9,3.1,세토사
4.4,3,세토사
5.1,3.4,세토사
5,3.5,세토사
4.5,2.3,세토사
4.4,3.2,세토사
4.8,3,세토사
5.1,3.8,세토사
4.6,3.2,세토사
5.3,3.7,세토사
5,3.3,세토사
7,3.2,버시컬러
6.4,3.2,버시컬러
6.9,3.1,버시컬러
5.5,2.3,버시컬러
6.5,2.8,버시컬러
5.7,2.8,버시컬러
6.3,3.3,버시컬러
4.9,2.4,버시컬러
6.6,2.9,버시컬러
5.2,2.7,버시컬러
5,2,버시컬러
5.9,3,버시컬러
6,2.2,버시컬러
6.1,2.9,버시컬러
5.6,2.9,버시컬러
6.7,3.1,버시컬러
5.6,3,버시컬러
5.8,2.7,버시컬러
6.2,2.2,버시컬러
5.6,2.5,버시컬러
5.9,3.2,버시컬러
6.1,2.8,버시컬러
6.3,2.5,버시컬러
6.1,2.8,버시컬러
6.4,2.9,버시컬러
6.6,3,버시컬러
6.8,2.8,버시컬러
6.7,3,버시컬러
6,2.9,버시컬러
5.7,2.6,버시컬러
5.5,2.4,버시컬러
5.5,2.4,버시컬러
5.8,2.7,버시컬러
6,2.7,버시컬러
5.4,3,버시컬러
6,3.4,버시컬러
6.7,3.1,버시컬러
6.3,2.3,버시컬러
5.6,3,버시컬러
5.5,2.5,버시컬러
5.5,2.6,버시컬러
6.1,3,버시컬러
5.8,2.6,버시컬러
5,2.3,버시컬러
5.6,2.7,버시컬러
5.7,3,버시컬러
5.7,2.9,버시컬러
6.2,2.9,버시컬러
5.7,2.8,버시컬러
6.3,3.3,버지니카
5.8,2.7,버지니카
7.1,3,버지니카
6.3,2.9,버지니카
6.5,3,버지니카
7.6,3,버지니카
7.3,2.9,버지니카
6.7,2.5,버지니카
7.2,3.6,버지니카
6.5,3.2,버지니카
6.4,2.7,버지니카
6.8,3,버지니카
5.7,2.5,버지니카
5.8,2.8,버지니카
6.4,3.2,버지니카
6.5,3,버지니카
7.7,3.8,버지니카
7.7,2.6,버지니카
6,2.2,버지니카
6.9,3.2,버지니카
5.6,2.8,버지니카
7.7,2.8,버지니카
6.3,2.7,버지니카
6.7,3.3,버지니카
7.2,3.2,버지니카
6.2,2.8,버지니카
6.1,3,버지니카
6.4,2.8,버지니카
7.2,3,버지니카
7.4,2.8,버지니카
7.9,3.8,버지니카
6.4,2.8,버지니카
6.3,2.8,버지니카
6.1,2.6,버지니카
7.7,3,버지니카
6.3,3.4,버지니카
6.4,3.1,버지니카
6,3,버지니카
6.9,3.1,버지니카
6.7,3.1,버지니카
6.9,3.1,버지니카
5.8,2.7,버지니카
6.8,3.2,버지니카
6.7,3.3,버지니카
6.7,3,버지니카
6.3,2.5,버지니카
6.5,3,버지니카
6.2,3.4,버지니카
5.9,3,버지니카
4.8,3.8,세토사
5.3,4.2,세토사
5.4,4.1,세토사
6.7,3.1,버시컬러
6.2,2.2,버시컬러
5.4,2.5,버시컬러
5.2,3.3,버시컬러
6.7,3.2,버시컬러
6.8,2.5,버시컬러
5.7,2.5,버지니카
6.4,3.2,버지니카
7.8,3.6,버지니카
7.4,3.4,버지니카
6.5,2.7,버지니카
5.5,2.6,버지니카
